id	filename	md5	size	state
d73b4900-5f8a-41a1-8e18-599f712b20dd	c6537fca-ce01-44d9-a848-c8d09f4da2d4.rna_seq.augmented_star_gene_counts.tsv	df495e8e17753f76e3c8c7e81327b3e9	4248210	released
d3317b3c-f496-4f15-930e-9827100ffd16	e74e83be-b003-45cc-a50b-149064caff99.rna_seq.augmented_star_gene_counts.tsv	c4eef061cc94c26b326a66def6fbe24a	4238105	released
5d85fe84-134c-4a2e-bb1f-c4ab07693c47	b5516bd8-8b93-4d1f-a1a0-a8be34831b40.rna_seq.augmented_star_gene_counts.tsv	9b5bca69db71f23a1f3c5cc5d3d29fee	4230251	released
7710fd34-eefa-4320-ae2d-b765dfe4638e	98a93528-cec2-4553-be0d-04375163e68e.rna_seq.augmented_star_gene_counts.tsv	74b45961057592e6f4cdcd1c1c7a652d	4253875	released
efa5f842-4049-48ba-94dc-3a826ae7272b	4dcb92e8-1526-4e2e-80ee-be36dba3fb7a.rna_seq.augmented_star_gene_counts.tsv	8c8e9a4afb1f01645f8e15bbab743d82	4237902	released
54c83e80-611f-4569-9a86-4316dd137f5a	eae1204c-1a31-4235-9de3-040f92592d16.rna_seq.augmented_star_gene_counts.tsv	d5a5d23ea5ee6a337eb8554f55269309	4246464	released
0f638551-a5b7-4765-841e-23ae1424f14c	2b516199-a3d6-4a0e-924f-ffd89e6e2204.rna_seq.augmented_star_gene_counts.tsv	40fead09706b3ed72adf4daec363442f	4241183	released
85d8012c-425b-4d92-bdd4-e02de46fa7b3	ab3ca5a3-cb89-4a1c-9ad8-2763c7c81318.rna_seq.augmented_star_gene_counts.tsv	0ef5149387afc793056dd60923e91dbf	4249573	released
8553e297-631f-4fbd-a9cd-618084d4b2db	8fdecff5-4023-4b7d-9053-ee6f0bb72b3c.rna_seq.augmented_star_gene_counts.tsv	4460d6d6b344de0bfe353add16edc562	4229817	released
fb26d7a8-66ee-41a3-990e-f5635f56c75c	90f0a272-f494-439a-afa2-5c4815c5b06c.rna_seq.augmented_star_gene_counts.tsv	d8809c833aadd0d1561b479a4d12a760	4245569	released
10f43e24-93ff-441c-9c5a-c36b260d7aec	1c79b30b-e45f-41d2-b0a7-94fcf5353e22.rna_seq.augmented_star_gene_counts.tsv	ffbc59c84c91e40e83959a477ece4956	4252341	released
e463307c-2037-4e9b-b168-2d412e4e9506	d5f3870c-cd6f-4072-bc05-e38b8f0dc486.rna_seq.augmented_star_gene_counts.tsv	26e58ca387f7e930eca6f79603c5295f	4250585	released
